timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,63.04,veh0,319228922#1_0,5.10,0.00,0.00,veh_passenger,235.32,826.79
1.00,63.04,veh0,319228922#1_0,6.40,0.00,1.30,veh_passenger,236.48,827.38
2.00,63.04,veh0,319228922#1_0,9.37,0.00,2.96,veh_passenger,239.12,828.73
3.00,63.04,veh0,319228922#1_0,14.30,0.00,4.93,veh_passenger,243.51,830.96
4.00,63.04,veh0,319228922#1_0,21.14,0.00,6.84,veh_passenger,249.61,834.06
5.00,63.04,veh0,319228922#1_0,30.44,0.00,9.31,veh_passenger,257.90,838.28
6.00,59.79,veh0,319228922#1_0,41.29,0.00,10.85,veh_passenger,267.30,843.69
7.00,58.71,veh0,:3256430169_6_0,2.59,0.00,13.07,veh_passenger,278.55,850.35
8.00,57.72,veh0,:3256430169_6_0,17.21,0.00,14.62,veh_passenger,290.91,858.15
9.00,57.19,veh0,319228922#2_0,9.40,0.00,16.02,veh_passenger,304.41,866.78
10.00,50.30,veh0,812880930_0,15.99,0.00,17.65,veh_passenger,318.09,877.92
11.00,50.30,veh0,812880930_0,36.13,0.00,20.14,veh_passenger,333.59,890.79
12.00,49.13,veh0,812880930_0,58.13,0.00,22.00,veh_passenger,350.33,905.07
13.00,49.13,veh0,812880930_0,82.69,0.00,24.55,veh_passenger,368.90,921.13
14.00,58.12,veh0,812880930_0,109.45,0.00,26.77,veh_passenger,390.80,936.40
15.00,58.12,veh0,812880930_0,138.65,0.00,29.20,veh_passenger,415.60,951.82
16.00,58.12,veh0,812880930_0,167.74,0.00,29.09,veh_passenger,440.30,967.19
17.00,58.12,veh0,812880930_0,196.22,0.00,28.47,veh_passenger,464.48,982.22
18.00,57.00,veh0,812880929#0_0,16.50,0.00,25.20,veh_passenger,485.70,995.80
19.00,57.00,veh0,812880929#0_0,37.20,0.00,20.70,veh_passenger,503.06,1007.07
20.00,57.00,veh0,812880929#0_0,53.40,0.00,16.20,veh_passenger,516.64,1015.89
21.00,57.00,veh0,812880929#0_0,65.16,0.00,11.76,veh_passenger,526.50,1022.29
22.00,57.00,veh0,812880929#0_0,72.41,0.00,7.26,veh_passenger,532.59,1026.25
23.00,78.54,veh0,:3256430172_8_0,6.29,0.00,6.41,veh_passenger,538.57,1027.85
24.00,146.15,veh0,498871487#0_0,2.62,0.00,6.72,veh_passenger,542.91,1023.03
25.00,151.13,veh0,498871487#0_0,10.72,0.00,8.10,veh_passenger,546.82,1015.93
26.00,151.13,veh0,498871487#0_0,20.51,0.00,9.78,veh_passenger,551.54,1007.36
27.00,151.13,veh0,498871487#0_0,32.01,0.00,11.50,veh_passenger,557.10,997.29
28.00,151.13,veh0,498871487#0_0,45.40,0.00,13.39,veh_passenger,563.56,985.56
29.00,151.13,veh0,498871487#0_0,60.21,0.00,14.81,veh_passenger,570.72,972.59
30.00,151.13,veh0,498871487#0_0,77.12,0.00,16.91,veh_passenger,578.88,957.79
31.00,151.50,veh0,:9020370384_5_0,2.01,0.00,19.41,veh_passenger,588.22,940.77
32.00,152.95,veh0,498871487#1_0,13.79,0.00,21.03,veh_passenger,597.89,922.09
33.00,152.95,veh0,498871487#1_0,35.24,0.00,21.45,veh_passenger,607.64,902.99
34.00,152.95,veh0,498871487#1_0,52.19,0.00,16.95,veh_passenger,615.35,887.89
35.00,152.95,veh0,498871487#1_0,65.60,0.00,13.40,veh_passenger,621.45,875.95
36.00,152.95,veh0,498871487#1_0,74.50,0.00,8.90,veh_passenger,625.50,868.03
37.00,147.39,veh0,:4902150139_14_0,3.82,0.00,4.40,veh_passenger,627.92,864.35
38.00,113.46,veh0,:4902150139_18_0,6.40,0.00,6.65,veh_passenger,633.68,861.35
39.00,75.13,veh0,-812786139#5_0,4.91,0.00,9.25,veh_passenger,642.72,862.95
40.00,74.97,veh0,-812786139#5_0,15.94,0.00,11.04,veh_passenger,653.38,865.81
41.00,79.19,veh0,:7603095272_2_0,7.97,0.00,13.01,veh_passenger,666.02,868.81
42.00,81.04,veh0,-812786139#4_0,14.33,0.00,15.26,veh_passenger,681.10,871.19
43.00,81.08,veh0,-812786139#4_0,31.81,0.00,17.48,veh_passenger,698.36,873.91
44.00,81.74,veh0,-812786139#4_0,51.80,0.00,19.99,veh_passenger,718.14,876.78
45.00,87.00,veh0,-812786139#3_0,7.77,0.00,22.33,veh_passenger,740.35,878.85
46.00,87.00,veh0,-812786139#3_0,31.25,0.00,23.48,veh_passenger,763.79,880.08
47.00,87.34,veh0,-812786139#2_0,7.22,0.00,22.58,veh_passenger,786.34,881.18
48.00,87.34,veh0,-812786139#2_0,30.58,0.00,23.37,veh_passenger,809.68,882.27
49.00,87.34,veh0,-812786139#2_0,52.99,0.00,22.41,veh_passenger,832.07,883.31
50.00,87.70,veh0,-812786139#2_0,76.38,0.00,23.38,veh_passenger,855.43,884.28
51.00,87.70,veh0,-812786139#2_0,99.46,0.00,23.08,veh_passenger,878.49,885.20
52.00,83.71,veh0,-812786139#2_0,122.20,0.00,22.74,veh_passenger,901.19,886.55
53.00,83.71,veh0,-812786139#2_0,145.71,0.00,23.51,veh_passenger,924.55,889.12
54.00,76.96,veh0,-812786139#2_0,168.57,0.00,22.86,veh_passenger,947.09,892.75
55.00,76.96,veh0,-812786139#2_0,191.12,0.00,22.54,veh_passenger,969.05,897.84
56.00,76.41,veh0,-812786139#2_0,214.51,0.00,23.40,veh_passenger,991.83,903.17
57.00,76.41,veh0,-812786139#2_0,237.74,0.00,23.23,veh_passenger,1014.41,908.62
58.00,78.66,veh0,-812786139#2_0,261.05,0.00,23.31,veh_passenger,1037.12,913.86
59.00,78.66,veh0,-812786139#2_0,283.99,0.00,22.94,veh_passenger,1059.62,918.37
60.00,80.41,veh0,-812786139#2_0,306.40,0.00,22.41,veh_passenger,1081.65,922.43
61.00,80.41,veh0,-812786139#2_0,329.82,0.00,23.42,veh_passenger,1104.74,926.33
62.00,84.22,veh0,-812786139#2_0,353.32,0.00,23.50,veh_passenger,1128.08,929.01
63.00,84.22,veh0,-812786139#2_0,375.88,0.00,22.56,veh_passenger,1150.53,931.28
64.00,84.22,veh0,-812786139#2_0,398.89,0.00,23.01,veh_passenger,1173.43,933.60
65.00,84.22,veh0,-812786139#2_0,421.34,0.00,22.45,veh_passenger,1195.76,935.86
66.00,84.22,veh0,-812786139#2_0,444.42,0.00,23.08,veh_passenger,1218.72,938.18
67.00,84.22,veh0,-812786139#2_0,464.79,0.00,20.37,veh_passenger,1238.99,940.24
68.00,84.22,veh0,-812786139#2_0,480.73,0.00,15.93,veh_passenger,1254.84,941.84
69.00,84.22,veh0,-812786139#2_0,492.16,0.00,11.43,veh_passenger,1266.22,942.99
70.00,84.22,veh0,-812786139#2_0,499.09,0.00,6.93,veh_passenger,1273.12,943.69
71.00,84.22,veh0,-812786139#2_0,502.92,0.00,3.82,veh_passenger,1276.92,944.08
72.00,81.07,veh0,:cluster_3256430192_9251897895_9_0,5.23,0.00,6.25,veh_passenger,1283.10,944.99
73.00,81.07,veh0,:cluster_3256430192_9251897895_9_0,13.49,0.00,8.26,veh_passenger,1291.26,946.27
74.00,83.31,veh0,-812786139#0_0,5.98,0.00,10.08,veh_passenger,1301.25,947.61
75.00,83.31,veh0,-812786139#0_0,18.57,0.00,12.59,veh_passenger,1313.75,949.07
76.00,83.31,veh0,-812786139#0_0,33.28,0.00,14.71,veh_passenger,1328.36,950.79
77.00,83.31,veh0,-812786139#0_0,49.32,0.00,16.05,veh_passenger,1344.30,952.65
78.00,83.31,veh0,-812786139#0_0,67.00,0.00,17.67,veh_passenger,1361.85,954.71
79.00,83.31,veh0,-812786139#0_0,86.04,0.00,19.04,veh_passenger,1380.76,956.93
80.00,83.31,veh0,-812786139#0_0,107.19,0.00,21.15,veh_passenger,1401.77,959.39
81.00,83.31,veh0,-812786139#0_0,130.27,0.00,23.08,veh_passenger,1424.69,962.08
82.00,83.31,veh0,-812786139#0_0,148.85,0.00,18.58,veh_passenger,1443.15,964.25
83.00,83.31,veh0,-812786139#0_0,163.28,0.00,14.43,veh_passenger,1457.48,965.93
84.00,83.31,veh0,-812786139#0_0,174.43,0.00,11.15,veh_passenger,1468.55,967.23
85.00,62.30,veh0,:7591825660_4_0,6.71,0.00,7.18,veh_passenger,1475.01,970.00
86.00,5.44,veh0,-1002475791#0_0,0.04,0.00,7.57,veh_passenger,1476.67,977.14
87.00,352.56,veh0,-1002475791#0_0,10.16,0.00,10.12,veh_passenger,1475.36,987.18
88.00,352.56,veh0,-1002475791#0_0,22.49,0.00,12.33,veh_passenger,1473.77,999.41
89.00,352.56,veh0,-1002475791#0_0,37.03,0.00,14.54,veh_passenger,1471.88,1013.82
90.00,352.56,veh0,-1002475791#0_0,51.31,0.00,14.28,veh_passenger,1470.03,1027.98
91.00,352.56,veh0,-1002475791#0_0,65.35,0.00,14.04,veh_passenger,1468.22,1041.91
92.00,352.56,veh0,-1002475791#0_0,79.29,0.00,13.93,veh_passenger,1466.41,1055.72
93.00,352.56,veh0,-1002475791#0_0,93.18,0.00,13.90,veh_passenger,1464.61,1069.50
94.00,352.56,veh0,-1002475791#0_0,106.82,0.00,13.63,veh_passenger,1462.85,1083.02
95.00,350.98,veh0,-1002475791#0_0,121.09,0.00,14.27,veh_passenger,1460.84,1097.15
96.00,350.98,veh0,-1002475791#0_0,135.08,0.00,13.99,veh_passenger,1458.65,1110.96
97.00,350.98,veh0,-1002475791#0_0,149.10,0.00,14.02,veh_passenger,1456.45,1124.81
98.00,350.98,veh0,-1002475791#0_0,163.16,0.00,14.06,veh_passenger,1454.25,1138.70
99.00,350.98,veh0,-1002475791#0_0,176.62,0.00,13.46,veh_passenger,1452.14,1152.00
100.00,350.98,veh0,-1002475791#0_0,190.67,0.00,14.05,veh_passenger,1449.94,1165.87
101.00,350.98,veh0,-1002475791#0_0,204.54,0.00,13.87,veh_passenger,1447.76,1179.57
102.00,350.98,veh0,-1002475791#0_0,218.65,0.00,14.11,veh_passenger,1445.55,1193.50
103.00,350.98,veh0,-1002475791#0_0,232.62,0.00,13.98,veh_passenger,1443.36,1207.31
104.00,350.98,veh0,-1002475791#0_0,246.26,0.00,13.64,veh_passenger,1441.22,1220.78
105.00,350.98,veh0,-1002475791#0_0,260.44,0.00,14.18,veh_passenger,1439.00,1234.78
106.00,350.98,veh0,-1002475791#0_0,275.16,0.00,14.72,veh_passenger,1436.69,1249.32
107.00,350.98,veh0,-1002475791#0_0,289.24,0.00,14.08,veh_passenger,1434.48,1263.22
108.00,350.98,veh0,-1002475791#0_0,303.35,0.00,14.11,veh_passenger,1432.27,1277.16
109.00,356.47,veh0,-1002475791#0_0,316.83,0.00,13.48,veh_passenger,1430.64,1290.51
110.00,1.20,veh0,-1002475791#0_0,331.37,0.00,14.54,veh_passenger,1430.94,1305.04
111.00,,,,,,,,,
112.00,,,,,,,,,
113.00,,,,,,,,,
114.00,,,,,,,,,
115.00,,,,,,,,,
116.00,,,,,,,,,
117.00,,,,,,,,,
118.00,,,,,,,,,
119.00,,,,,,,,,
120.00,,,,,,,,,
121.00,,,,,,,,,
122.00,,,,,,,,,
123.00,,,,,,,,,
124.00,,,,,,,,,
125.00,,,,,,,,,
126.00,,,,,,,,,
127.00,,,,,,,,,
128.00,,,,,,,,,
129.00,,,,,,,,,
130.00,,,,,,,,,
131.00,,,,,,,,,
132.00,,,,,,,,,
133.00,,,,,,,,,
134.00,,,,,,,,,
135.00,,,,,,,,,
136.00,,,,,,,,,
137.00,,,,,,,,,
138.00,,,,,,,,,
139.00,,,,,,,,,
140.00,,,,,,,,,
141.00,,,,,,,,,
142.00,,,,,,,,,
143.00,,,,,,,,,
144.00,,,,,,,,,
145.00,,,,,,,,,
146.00,,,,,,,,,
147.00,,,,,,,,,
148.00,,,,,,,,,
149.00,,,,,,,,,
150.00,,,,,,,,,
151.00,,,,,,,,,
152.00,,,,,,,,,
153.00,,,,,,,,,
154.00,,,,,,,,,
155.00,,,,,,,,,
156.00,,,,,,,,,
157.00,,,,,,,,,
158.00,,,,,,,,,
159.00,,,,,,,,,
160.00,,,,,,,,,
161.00,,,,,,,,,
162.00,,,,,,,,,
163.00,,,,,,,,,
164.00,,,,,,,,,
165.00,,,,,,,,,
166.00,,,,,,,,,
167.00,246.10,veh1,-523168348#1_0,5.10,0.00,0.00,veh_passenger,721.55,1345.04
168.00,246.10,veh1,-523168348#1_0,6.46,0.00,1.36,veh_passenger,720.31,1344.49
169.00,246.10,veh1,-523168348#1_0,9.32,0.00,2.86,veh_passenger,717.69,1343.34
170.00,246.10,veh1,-523168348#1_0,13.64,0.00,4.32,veh_passenger,713.74,1341.59
171.00,246.10,veh1,-523168348#1_0,20.51,0.00,6.87,veh_passenger,707.46,1338.80
172.00,246.10,veh1,-523168348#1_0,29.44,0.00,8.93,veh_passenger,699.30,1335.18
173.00,246.10,veh1,-523168348#1_0,40.78,0.00,11.34,veh_passenger,688.92,1330.59
174.00,246.10,veh1,-523168348#1_0,54.61,0.00,13.83,veh_passenger,676.28,1324.99
175.00,246.10,veh1,-523168348#1_0,70.87,0.00,16.26,veh_passenger,661.41,1318.40
176.00,246.10,veh1,-523168348#1_0,88.64,0.00,17.76,veh_passenger,645.17,1311.20
177.00,246.10,veh1,-523168348#1_0,108.39,0.00,19.75,veh_passenger,627.11,1303.20
178.00,246.10,veh1,-523168348#1_0,124.03,0.00,15.64,veh_passenger,612.81,1296.87
179.00,237.26,veh1,-523168348#1_0,135.98,0.00,11.96,veh_passenger,602.26,1291.35
180.00,212.90,veh1,:7592768254_1_0,10.17,0.00,10.21,veh_passenger,595.71,1283.71
181.00,172.02,veh1,-523168348#0_0,8.08,0.00,10.83,veh_passenger,595.09,1273.28
182.00,156.56,veh1,-523168348#0_0,21.23,0.00,13.15,veh_passenger,600.32,1261.21
183.00,156.56,veh1,-523168348#0_0,36.85,0.00,15.62,veh_passenger,606.53,1246.88
184.00,156.56,veh1,-523168348#0_0,54.19,0.00,17.34,veh_passenger,613.43,1230.97
185.00,156.56,veh1,-523168348#0_0,73.33,0.00,19.14,veh_passenger,621.05,1213.41
186.00,156.56,veh1,-523168348#0_0,93.27,0.00,19.94,veh_passenger,628.98,1195.12
187.00,156.56,veh1,-523168348#0_0,113.78,0.00,20.52,veh_passenger,637.14,1176.29
188.00,156.56,veh1,-523168348#0_0,133.51,0.00,19.73,veh_passenger,644.99,1158.19
189.00,156.56,veh1,-523168348#0_0,150.51,0.00,17.00,veh_passenger,651.75,1142.59
190.00,156.56,veh1,-523168348#0_0,163.01,0.00,12.50,veh_passenger,656.72,1131.12
191.00,156.56,veh1,-523168348#0_0,171.38,0.00,8.36,veh_passenger,660.05,1123.45
192.00,156.56,veh1,-523168348#0_0,175.87,0.00,4.50,veh_passenger,661.84,1119.33
193.00,178.95,veh1,:7592768253_12_0,5.01,0.00,5.29,veh_passenger,662.04,1114.26
194.00,233.70,veh1,-812880929#2_0,1.01,0.00,5.04,veh_passenger,658.08,1111.34
195.00,247.11,veh1,-812880929#2_0,8.34,0.00,7.32,veh_passenger,651.33,1108.49
196.00,244.35,veh1,-812880929#2_0,18.08,0.00,9.74,veh_passenger,642.48,1104.43
197.00,244.35,veh1,-812880929#2_0,30.40,0.00,12.32,veh_passenger,631.37,1099.09
198.00,244.35,veh1,-812880929#2_0,44.81,0.00,14.41,veh_passenger,618.38,1092.86
199.00,239.12,veh1,-812880929#2_0,61.01,0.00,16.20,veh_passenger,604.46,1084.56
200.00,233.69,veh1,-812880929#2_0,78.61,0.00,17.60,veh_passenger,589.83,1074.81
201.00,232.44,veh1,-812880929#1_0,3.82,0.00,20.05,veh_passenger,573.81,1062.76
202.00,230.40,veh1,-812880929#1_0,20.60,0.00,16.79,veh_passenger,560.71,1052.27
203.00,230.40,veh1,-812880929#1_0,32.89,0.00,12.29,veh_passenger,551.24,1044.44
204.00,230.40,veh1,-812880929#1_0,41.72,0.00,8.83,veh_passenger,544.44,1038.81
205.00,225.03,veh1,:3256430172_2_0,3.19,0.00,4.33,veh_passenger,541.42,1035.71
206.00,188.10,veh1,:3256430172_16_0,5.87,0.00,6.31,veh_passenger,540.13,1029.71
207.00,153.46,veh1,498871487#0_0,3.36,0.00,8.02,veh_passenger,543.26,1022.38
208.00,151.13,veh1,498871487#0_0,13.08,0.00,9.72,veh_passenger,547.95,1013.87
209.00,151.13,veh1,498871487#0_0,24.12,0.00,11.04,veh_passenger,553.28,1004.20
210.00,151.13,veh1,498871487#0_0,37.58,0.00,13.47,veh_passenger,559.79,992.41
211.00,151.13,veh1,498871487#0_0,53.25,0.00,15.67,veh_passenger,567.35,978.69
212.00,151.13,veh1,498871487#0_0,70.81,0.00,17.56,veh_passenger,575.83,963.31
213.00,151.13,veh1,498871487#0_0,90.32,0.00,19.51,veh_passenger,585.25,946.23
214.00,,,,,,,,,
215.00,,,,,,,,,
216.00,,,,,,,,,
217.00,,,,,,,,,
218.00,,,,,,,,,
219.00,,,,,,,,,
220.00,,,,,,,,,
221.00,,,,,,,,,
222.00,,,,,,,,,
223.00,,,,,,,,,
224.00,,,,,,,,,
225.00,,,,,,,,,
226.00,,,,,,,,,
227.00,,,,,,,,,
228.00,,,,,,,,,
229.00,,,,,,,,,
230.00,,,,,,,,,
231.00,,,,,,,,,
232.00,,,,,,,,,
233.00,,,,,,,,,
234.00,,,,,,,,,
235.00,,,,,,,,,
236.00,,,,,,,,,
