timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,63.04,veh0,319228922#1_0,5.10,0.00,0.00,veh_passenger,235.32,826.79
1.00,63.04,veh0,319228922#1_0,6.10,0.00,1.00,veh_passenger@veh0,236.21,827.25
2.00,63.04,veh0,319228922#1_0,8.10,0.00,2.00,veh_passenger@veh0,237.99,828.15
3.00,63.04,veh0,319228922#1_0,11.10,0.00,3.00,veh_passenger@veh0,240.66,829.51
4.00,63.04,veh0,319228922#1_0,15.10,0.00,4.00,veh_passenger@veh0,244.23,831.32
5.00,63.04,veh0,319228922#1_0,20.10,0.00,5.00,veh_passenger@veh0,248.69,833.59
6.00,63.04,veh0,319228922#1_0,25.10,0.00,5.00,veh_passenger@veh0,253.14,835.86
7.00,63.04,veh0,319228922#1_0,30.10,0.00,5.00,veh_passenger@veh0,257.60,838.12
8.00,60.66,veh0,319228922#1_0,35.10,0.00,5.00,veh_passenger@veh0,261.95,840.57
9.00,59.79,veh0,319228922#1_0,40.10,0.00,5.00,veh_passenger@veh0,266.28,843.09
10.00,59.79,veh0,319228922#1_0,45.10,0.00,5.00,veh_passenger@veh0,270.60,845.60
11.00,59.79,veh0,319228922#1_0,50.10,0.00,5.00,veh_passenger@veh0,274.92,848.12
12.00,58.41,veh0,:3256430169_6_0,3.33,0.00,5.00,veh_passenger@veh0,279.18,850.74
13.00,57.72,veh0,:3256430169_6_0,8.33,0.00,5.00,veh_passenger@veh0,283.40,853.41
14.00,57.72,veh0,:3256430169_6_0,13.33,0.00,5.00,veh_passenger@veh0,287.63,856.08
15.00,57.72,veh0,:3256430169_6_0,18.33,0.00,5.00,veh_passenger@veh0,291.86,858.75
16.00,57.72,veh0,:3256430169_6_0,23.33,0.00,5.00,veh_passenger@veh0,296.09,861.42
17.00,57.24,veh0,319228922#2_0,4.50,0.00,5.00,veh_passenger@veh0,300.29,864.13
18.00,57.19,veh0,319228922#2_0,9.50,0.00,5.00,veh_passenger@veh0,304.50,866.84
19.00,52.09,veh0,812880930_0,3.44,0.00,5.00,veh_passenger@veh0,308.44,869.91
20.00,50.30,veh0,812880930_0,8.44,0.00,5.00,veh_passenger@veh0,312.28,873.10
21.00,50.30,veh0,812880930_0,13.44,0.00,5.00,veh_passenger@veh0,316.13,876.30
22.00,50.30,veh0,812880930_0,18.44,0.00,5.00,veh_passenger@veh0,319.98,879.49
23.00,50.30,veh0,812880930_0,23.44,0.00,5.00,veh_passenger@veh0,323.83,882.68
24.00,50.30,veh0,812880930_0,28.44,0.00,5.00,veh_passenger@veh0,327.67,885.88
25.00,50.30,veh0,812880930_0,33.44,0.00,5.00,veh_passenger@veh0,331.52,889.07
26.00,50.30,veh0,812880930_0,38.44,0.00,5.00,veh_passenger@veh0,335.37,892.27
27.00,50.30,veh0,812880930_0,43.44,0.00,5.00,veh_passenger@veh0,339.21,895.46
28.00,49.26,veh0,812880930_0,48.44,0.00,5.00,veh_passenger@veh0,343.00,898.72
29.00,49.13,veh0,812880930_0,53.44,0.00,5.00,veh_passenger@veh0,346.78,901.99
30.00,49.13,veh0,812880930_0,58.44,0.00,5.00,veh_passenger@veh0,350.57,905.27
31.00,49.13,veh0,812880930_0,63.44,0.00,5.00,veh_passenger@veh0,354.35,908.54
32.00,49.13,veh0,812880930_0,68.44,0.00,5.00,veh_passenger@veh0,358.13,911.81
33.00,49.13,veh0,812880930_0,73.44,0.00,5.00,veh_passenger@veh0,361.91,915.08
34.00,49.13,veh0,812880930_0,78.44,0.00,5.00,veh_passenger@veh0,365.69,918.35
35.00,49.13,veh0,812880930_0,83.44,0.00,5.00,veh_passenger@veh0,369.47,921.63
36.00,49.13,veh0,812880930_0,88.44,0.00,5.00,veh_passenger@veh0,373.25,924.90
37.00,52.34,veh0,812880930_0,93.44,0.00,5.00,veh_passenger@veh0,377.20,927.94
38.00,58.12,veh0,812880930_0,98.44,0.00,5.00,veh_passenger@veh0,381.45,930.59
39.00,58.12,veh0,812880930_0,103.44,0.00,5.00,veh_passenger@veh0,385.69,933.23
40.00,58.12,veh0,812880930_0,108.44,0.00,5.00,veh_passenger@veh0,389.94,935.87
41.00,58.12,veh0,812880930_0,113.44,0.00,5.00,veh_passenger@veh0,394.18,938.51
42.00,58.12,veh0,812880930_0,118.44,0.00,5.00,veh_passenger@veh0,398.43,941.15
43.00,58.12,veh0,812880930_0,123.44,0.00,5.00,veh_passenger@veh0,402.68,943.79
44.00,58.12,veh0,812880930_0,128.44,0.00,5.00,veh_passenger@veh0,406.92,946.43
45.00,58.12,veh0,812880930_0,133.44,0.00,5.00,veh_passenger@veh0,411.17,949.07
46.00,58.12,veh0,812880930_0,138.44,0.00,5.00,veh_passenger@veh0,415.41,951.71
47.00,58.12,veh0,812880930_0,143.44,0.00,5.00,veh_passenger@veh0,419.66,954.35
48.00,58.12,veh0,812880930_0,148.44,0.00,5.00,veh_passenger@veh0,423.91,956.99
49.00,58.12,veh0,812880930_0,153.44,0.00,5.00,veh_passenger@veh0,428.15,959.63
50.00,58.12,veh0,812880930_0,158.44,0.00,5.00,veh_passenger@veh0,432.40,962.27
51.00,58.12,veh0,812880930_0,163.44,0.00,5.00,veh_passenger@veh0,436.65,964.91
52.00,58.12,veh0,812880930_0,168.44,0.00,5.00,veh_passenger@veh0,440.89,967.55
53.00,58.12,veh0,812880930_0,173.44,0.00,5.00,veh_passenger@veh0,445.14,970.19
54.00,58.12,veh0,812880930_0,178.44,0.00,5.00,veh_passenger@veh0,449.38,972.83
55.00,58.12,veh0,812880930_0,183.44,0.00,5.00,veh_passenger@veh0,453.63,975.48
56.00,58.12,veh0,812880930_0,188.44,0.00,5.00,veh_passenger@veh0,457.88,978.12
57.00,58.12,veh0,812880930_0,193.44,0.00,5.00,veh_passenger@veh0,462.12,980.76
58.00,58.12,veh0,812880930_0,198.44,0.00,5.00,veh_passenger@veh0,466.37,983.40
59.00,58.12,veh0,812880930_0,203.44,0.00,5.00,veh_passenger@veh0,470.61,986.04
60.00,57.35,veh0,812880929#0_0,3.53,0.00,5.00,veh_passenger@veh0,474.82,988.73
61.00,57.00,veh0,812880929#0_0,8.53,0.00,5.00,veh_passenger@veh0,479.01,991.46
62.00,57.00,veh0,812880929#0_0,13.53,0.00,5.00,veh_passenger@veh0,483.21,994.18
63.00,57.00,veh0,812880929#0_0,18.53,0.00,5.00,veh_passenger@veh0,487.40,996.90
64.00,57.00,veh0,812880929#0_0,23.53,0.00,5.00,veh_passenger@veh0,491.59,999.62
65.00,57.00,veh0,812880929#0_0,28.53,0.00,5.00,veh_passenger@veh0,495.79,1002.35
66.00,57.00,veh0,812880929#0_0,33.53,0.00,5.00,veh_passenger@veh0,499.98,1005.07
67.00,57.00,veh0,812880929#0_0,38.53,0.00,5.00,veh_passenger@veh0,504.17,1007.79
68.00,57.00,veh0,812880929#0_0,43.53,0.00,5.00,veh_passenger@veh0,508.37,1010.52
69.00,57.00,veh0,812880929#0_0,48.53,0.00,5.00,veh_passenger@veh0,512.56,1013.24
70.00,57.00,veh0,812880929#0_0,53.53,0.00,5.00,veh_passenger@veh0,516.75,1015.96
71.00,57.00,veh0,812880929#0_0,58.53,0.00,5.00,veh_passenger@veh0,520.95,1018.69
72.00,57.00,veh0,812880929#0_0,63.53,0.00,5.00,veh_passenger@veh0,525.14,1021.41
73.00,57.00,veh0,812880929#0_0,68.53,0.00,5.00,veh_passenger@veh0,529.34,1024.13
74.00,58.26,veh0,:3256430172_8_0,1.00,0.00,5.00,veh_passenger@veh0,533.58,1026.76
75.00,75.77,veh0,:3256430172_8_0,6.00,0.00,5.00,veh_passenger@veh0,538.30,1027.96
76.00,131.13,veh0,498871487#0_0,0.61,0.00,5.00,veh_passenger@veh0,541.93,1024.79
77.00,151.13,veh0,498871487#0_0,5.61,0.00,5.00,veh_passenger@veh0,544.35,1020.41
78.00,151.13,veh0,498871487#0_0,10.61,0.00,5.00,veh_passenger@veh0,546.76,1016.03
79.00,151.13,veh0,498871487#0_0,15.61,0.00,5.00,veh_passenger@veh0,549.18,1011.65
80.00,151.13,veh0,498871487#0_0,20.61,0.00,5.00,veh_passenger@veh0,551.59,1007.27
81.00,151.13,veh0,498871487#0_0,25.61,0.00,5.00,veh_passenger@veh0,554.01,1002.89
82.00,151.13,veh0,498871487#0_0,30.61,0.00,5.00,veh_passenger@veh0,556.42,998.52
83.00,151.13,veh0,498871487#0_0,35.61,0.00,5.00,veh_passenger@veh0,558.83,994.14
