interval_begin,interval_end,interval_id,edge_id,lane_arrived,lane_density,lane_departed,lane_entered,lane_id,lane_laneChangedFrom,lane_laneChangedTo,lane_laneDensity,lane_left,lane_occupancy,lane_overlapTraveltime,lane_sampledSeconds,lane_speed,lane_speedRelative,lane_timeLoss,lane_traveltime,lane_waitingTime
0.00,91.00,DEFAULT_LANEDATA,e1,0,7.31,5,0,e1_0,3,0,7.31,2,3.69,15.89,56.12,5.64,0.41,23.58,14.38,0.00
0.00,91.00,DEFAULT_LANEDATA,e1,0,2.04,0,0,e1_1,0,3,2.04,3,1.11,13.53,15.70,6.69,0.48,4.01,11.82,0.00
0.00,91.00,DEFAULT_LANEDATA,e2,0,5.04,0,2,e2_0,0,1,5.04,3,2.27,13.68,35.30,5.99,0.43,13.73,12.09,0.00
0.00,91.00,DEFAULT_LANEDATA,e2,0,3.68,0,3,e2_1,1,0,3.68,2,1.90,10.65,25.78,7.77,0.56,5.50,9.73,0.00
0.00,91.00,DEFAULT_LANEDATA,e3,0,5.28,0,3,e3_0,0,0,5.28,3,2.40,14.21,42.63,6.59,0.47,14.54,12.99,0.00
0.00,91.00,DEFAULT_LANEDATA,e3,0,3.00,0,2,e3_1,0,0,3.00,2,1.63,12.10,24.22,7.82,0.56,4.55,10.93,0.00
0.00,91.00,DEFAULT_LANEDATA,e4,0,5.52,0,3,e4_0,2,1,5.52,2,2.98,20.50,47.54,4.90,0.35,23.97,18.46,1.00
0.00,91.00,DEFAULT_LANEDATA,e4,0,3.49,0,2,e4_1,2,2,3.49,2,1.73,14.03,30.03,7.13,0.51,8.08,13.01,0.00
0.00,91.00,DEFAULT_LANEDATA,e4,0,0.80,0,0,e4_2,0,1,0.80,1,0.38,12.89,6.88,7.73,0.56,1.37,12.00,0.00
0.00,91.00,DEFAULT_LANEDATA,e5,0,3.84,0,2,e5_0,0,0,3.84,2,1.90,11.93,23.89,6.22,0.45,8.43,10.37,0.00
0.00,91.00,DEFAULT_LANEDATA,e5,0,3.27,0,2,e5_1,0,0,3.27,2,1.48,10.16,20.31,7.22,0.52,5.06,9.22,0.00
0.00,91.00,DEFAULT_LANEDATA,e5,0,1.56,0,1,e5_2,0,0,1.56,1,0.71,9.68,9.68,7.58,0.55,2.13,8.79,0.00
0.00,91.00,DEFAULT_LANEDATA,e6,3,4.00,0,2,e6_0,0,1,4.00,0,2.17,13.30,35.22,7.72,0.56,8.05,12.56,0.00
0.00,91.00,DEFAULT_LANEDATA,e6,1,1.87,0,2,e6_1,1,0,1.87,0,0.87,12.57,16.48,8.10,0.58,3.14,12.00,0.00
0.00,91.00,DEFAULT_LANEDATA,e6,1,1.44,0,1,e6_2,0,0,1.44,0,0.69,12.69,12.69,8.02,0.58,2.51,12.16,0.00
