interval_begin,interval_end,interval_id,edge_id,lane_arrived,lane_density,lane_departed,lane_entered,lane_id,lane_laneChangedFrom,lane_laneChangedTo,lane_laneDensity,lane_left,lane_occupancy,lane_overlapTraveltime,lane_sampledSeconds,lane_speed,lane_speedRelative,lane_timeLoss,lane_traveltime,lane_waitingTime
0.00,96.00,DEFAULT_LANEDATA,e1,0,6.93,5,0,e1_0,3,0,6.93,2,3.49,15.89,56.12,5.64,0.41,23.58,14.38,0.00
0.00,96.00,DEFAULT_LANEDATA,e1,0,1.94,0,0,e1_1,0,3,1.94,3,1.05,13.53,15.70,6.69,0.48,4.01,11.82,0.00
0.00,96.00,DEFAULT_LANEDATA,e2,0,4.76,0,2,e2_0,0,1,4.76,3,2.14,13.81,35.14,5.94,0.43,13.93,12.18,0.00
0.00,96.00,DEFAULT_LANEDATA,e2,0,3.23,0,3,e2_1,2,0,3.23,1,1.73,11.01,23.91,7.53,0.54,5.63,10.05,0.00
0.00,96.00,DEFAULT_LANEDATA,e2,0,0.41,0,0,e2_2,0,1,0.41,1,0.18,10.61,3.02,7.73,0.56,0.59,9.08,0.00
0.00,96.00,DEFAULT_LANEDATA,e3,0,4.94,0,3,e3_0,1,1,4.94,3,2.48,14.59,42.00,6.46,0.46,14.74,13.12,0.00
0.00,96.00,DEFAULT_LANEDATA,e3,0,1.65,0,1,e3_1,1,1,1.65,1,0.82,12.51,14.01,7.52,0.54,3.08,11.57,0.00
0.00,96.00,DEFAULT_LANEDATA,e3,0,1.36,0,1,e3_2,0,0,1.36,1,0.64,11.53,11.53,8.12,0.58,2.05,10.86,0.00
0.00,96.00,DEFAULT_LANEDATA,e4,0,5.15,0,3,e4_0,1,0,5.15,2,2.65,16.06,46.85,6.25,0.45,16.73,14.23,0.00
0.00,96.00,DEFAULT_LANEDATA,e4,0,1.78,0,1,e4_1,0,1,1.78,2,0.84,14.97,16.18,6.68,0.48,4.81,13.46,0.00
0.00,96.00,DEFAULT_LANEDATA,e4,0,1.36,0,1,e4_2,0,0,1.36,1,0.64,12.35,12.35,8.07,0.58,2.27,11.71,0.00
0.00,96.00,DEFAULT_LANEDATA,e5,0,4.03,0,2,e5_0,0,0,4.03,2,1.73,13.21,26.43,5.55,0.40,11.39,11.79,0.00
0.00,96.00,DEFAULT_LANEDATA,e5,0,3.28,0,2,e5_1,0,0,3.28,2,1.76,10.75,21.49,6.92,0.50,6.00,9.50,0.00
0.00,96.00,DEFAULT_LANEDATA,e5,0,1.45,0,1,e5_2,0,0,1.45,1,0.66,9.51,9.51,7.71,0.56,1.96,8.57,0.00
0.00,96.00,DEFAULT_LANEDATA,e6,2,2.85,0,2,e6_0,0,0,2.85,0,1.34,13.54,26.50,7.52,0.54,6.57,12.93,0.00
0.00,96.00,DEFAULT_LANEDATA,e6,2,2.77,0,2,e6_1,0,0,2.77,0,1.54,12.96,25.72,7.93,0.57,5.33,12.21,0.00
0.00,96.00,DEFAULT_LANEDATA,e6,1,1.35,0,1,e6_2,0,0,1.35,0,0.64,12.53,12.53,8.13,0.59,2.35,11.99,0.00
