interval_begin,interval_end,interval_id,edge_id,lane_arrived,lane_density,lane_departed,lane_entered,lane_id,lane_laneChangedFrom,lane_laneChangedTo,lane_laneDensity,lane_left,lane_occupancy,lane_overlapTraveltime,lane_sampledSeconds,lane_speed,lane_speedRelative,lane_timeLoss,lane_traveltime,lane_waitingTime
0.00,95.00,DEFAULT_LANEDATA,e1,0,7.00,5,0,e1_0,3,0,7.00,2,3.53,15.89,56.12,5.64,0.41,23.58,14.38,0.00
0.00,95.00,DEFAULT_LANEDATA,e1,0,1.96,0,0,e1_1,0,3,1.96,3,1.07,13.53,15.70,6.69,0.48,4.01,11.82,0.00
0.00,95.00,DEFAULT_LANEDATA,e2,0,4.81,0,2,e2_0,0,1,4.81,3,2.16,13.81,35.14,5.94,0.43,13.93,12.18,0.00
0.00,95.00,DEFAULT_LANEDATA,e2,0,3.27,0,3,e2_1,2,0,3.27,1,1.75,11.01,23.91,7.53,0.54,5.63,10.05,0.00
0.00,95.00,DEFAULT_LANEDATA,e2,0,0.41,0,0,e2_2,0,1,0.41,1,0.18,10.61,3.02,7.73,0.56,0.59,9.08,0.00
0.00,95.00,DEFAULT_LANEDATA,e3,0,4.99,0,3,e3_0,1,1,4.99,3,2.50,14.59,42.00,6.46,0.46,14.74,13.12,0.00
0.00,95.00,DEFAULT_LANEDATA,e3,0,1.66,0,1,e3_1,1,1,1.66,1,0.83,12.51,14.01,7.52,0.54,3.08,11.57,0.00
0.00,95.00,DEFAULT_LANEDATA,e3,0,1.37,0,1,e3_2,0,0,1.37,1,0.64,11.53,11.53,8.12,0.58,2.05,10.86,0.00
0.00,95.00,DEFAULT_LANEDATA,e4,0,5.47,0,3,e4_0,0,0,5.47,3,2.76,16.39,49.18,6.12,0.44,17.85,14.04,0.00
0.00,95.00,DEFAULT_LANEDATA,e4,0,1.50,0,1,e4_1,0,0,1.50,1,0.69,13.54,13.54,7.36,0.53,3.19,12.40,0.00
0.00,95.00,DEFAULT_LANEDATA,e4,0,1.37,0,1,e4_2,0,0,1.37,1,0.64,12.35,12.35,8.07,0.58,2.27,11.71,0.00
0.00,95.00,DEFAULT_LANEDATA,e5,0,6.37,0,3,e5_0,0,0,6.37,3,3.10,13.78,41.36,5.37,0.39,18.60,12.32,0.00
0.00,95.00,DEFAULT_LANEDATA,e5,0,1.64,0,1,e5_1,0,0,1.64,1,0.73,10.62,10.62,6.91,0.50,2.93,9.59,0.00
0.00,95.00,DEFAULT_LANEDATA,e5,0,1.46,0,1,e5_2,0,0,1.46,1,0.67,9.51,9.51,7.71,0.56,1.96,8.57,0.00
0.00,95.00,DEFAULT_LANEDATA,e6,3,4.29,0,3,e6_0,0,0,4.29,0,2.28,13.52,39.45,7.58,0.55,9.56,12.78,0.00
0.00,95.00,DEFAULT_LANEDATA,e6,1,1.38,0,1,e6_1,0,0,1.38,0,0.66,13.09,12.70,7.77,0.56,2.83,12.50,0.00
0.00,95.00,DEFAULT_LANEDATA,e6,1,1.36,0,1,e6_2,0,0,1.36,0,0.65,12.53,12.53,8.13,0.59,2.35,11.99,0.00
