interval_begin,interval_end,interval_id,edge_id,lane_arrived,lane_density,lane_departed,lane_entered,lane_id,lane_laneChangedFrom,lane_laneChangedTo,lane_laneDensity,lane_left,lane_occupancy,lane_overlapTraveltime,lane_sampledSeconds,lane_speed,lane_speedRelative,lane_timeLoss,lane_traveltime,lane_waitingTime
0.00,93.00,DEFAULT_LANEDATA,e1,0,7.15,5,0,e1_0,3,0,7.15,2,3.61,15.89,56.12,5.64,0.41,23.58,14.38,0.00
0.00,93.00,DEFAULT_LANEDATA,e1,0,1.85,0,0,e1_1,1,3,1.85,2,1.04,13.32,14.50,6.80,0.49,3.76,11.77,0.00
0.00,93.00,DEFAULT_LANEDATA,e1,0,0.15,0,0,e1_2,0,1,0.15,1,0.05,16.65,1.19,5.37,0.39,0.43,15.51,0.00
0.00,93.00,DEFAULT_LANEDATA,e2,0,4.32,0,2,e2_0,0,1,4.32,3,1.92,13.89,30.91,5.90,0.42,12.31,12.26,0.00
0.00,93.00,DEFAULT_LANEDATA,e2,0,3.73,0,2,e2_1,1,0,3.73,1,2.03,15.04,26.67,5.53,0.40,11.64,13.18,0.00
0.00,93.00,DEFAULT_LANEDATA,e2,0,1.38,0,1,e2_2,0,0,1.38,1,0.65,9.91,9.91,8.27,0.60,1.57,9.21,0.00
0.00,93.00,DEFAULT_LANEDATA,e3,0,5.16,0,3,e3_0,0,0,5.16,3,2.35,14.18,42.53,6.61,0.48,13.84,12.88,0.00
0.00,93.00,DEFAULT_LANEDATA,e3,0,1.79,0,1,e3_1,0,0,1.79,1,1.05,14.73,14.73,6.49,0.47,5.17,13.61,0.00
0.00,93.00,DEFAULT_LANEDATA,e3,0,1.42,0,1,e3_2,0,0,1.42,1,0.67,11.71,11.71,7.99,0.58,2.19,10.98,0.00
0.00,93.00,DEFAULT_LANEDATA,e4,0,5.46,0,3,e4_0,0,0,5.46,3,2.46,16.03,48.10,6.22,0.45,17.50,13.82,0.00
0.00,93.00,DEFAULT_LANEDATA,e4,0,1.68,0,1,e4_1,0,0,1.68,1,1.08,14.81,14.81,6.86,0.49,4.33,13.37,0.00
0.00,93.00,DEFAULT_LANEDATA,e4,0,1.42,0,1,e4_2,0,0,1.42,1,0.66,12.53,12.53,7.96,0.57,2.39,11.84,0.00
0.00,93.00,DEFAULT_LANEDATA,e5,0,5.86,0,3,e5_0,1,0,5.86,2,2.58,13.95,37.23,5.26,0.38,17.48,12.31,0.00
0.00,93.00,DEFAULT_LANEDATA,e5,0,2.32,0,1,e5_1,0,1,2.32,2,1.31,11.07,14.74,6.76,0.49,4.32,9.69,0.00
0.00,93.00,DEFAULT_LANEDATA,e5,0,1.43,0,1,e5_2,0,0,1.43,1,0.66,9.12,9.12,8.04,0.58,1.64,8.38,0.00
0.00,93.00,DEFAULT_LANEDATA,e6,3,4.31,0,2,e6_0,0,1,4.31,0,2.27,13.74,38.79,7.45,0.54,9.89,12.99,0.00
0.00,93.00,DEFAULT_LANEDATA,e6,1,1.56,0,2,e6_1,1,0,1.56,0,0.74,12.59,14.06,8.11,0.58,2.66,11.99,0.00
0.00,93.00,DEFAULT_LANEDATA,e6,1,1.37,0,1,e6_2,0,0,1.37,0,0.66,12.89,12.32,7.90,0.57,2.59,12.26,0.00
