timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y
0.00,115.93,0,e1_0,5.10,0.00,0.00,car,85.79,131.01
1.00,115.93,0,e1_0,7.85,0.00,2.75,car,88.26,129.81
2.00,115.93,0,e1_0,13.73,0.00,5.88,car,93.55,127.24
3.00,115.93,0,e1_0,20.76,0.00,7.03,car,99.87,124.16
3.00,115.93,1,e1_0,5.10,0.00,0.00,car,85.79,131.01
4.00,115.93,0,e1_0,28.59,0.00,7.83,car,106.91,120.74
4.00,115.93,1,e1_0,6.14,0.00,1.04,car,86.72,130.55
5.00,115.93,0,e1_0,37.69,0.00,9.11,car,115.10,116.76
5.00,115.93,1,e1_0,7.68,0.00,1.53,car,88.10,129.88
6.00,115.93,0,e1_0,46.66,0.00,8.96,car,123.16,112.84
6.00,115.93,1,e1_0,9.71,0.00,2.03,car,89.93,128.99
7.00,115.93,0,e1_0,55.57,0.00,8.91,car,131.18,108.94
7.00,115.93,1,e1_0,15.00,0.00,5.29,car,94.69,126.68
7.00,115.93,test,e1_0,7.10,0.00,0.00,ev,87.59,130.14
8.00,115.93,0,e1_0,63.40,0.00,7.84,car,138.22,105.52
8.00,115.93,1,e1_0,21.02,0.00,6.02,car,100.11,124.05
8.00,115.93,test,e1_0,7.50,0.00,0.40,ev,87.95,129.96
9.00,115.93,0,e1_0,72.38,0.00,8.97,car,146.30,101.59
9.00,115.93,1,e1_0,28.22,0.00,7.20,car,106.58,120.90
9.00,115.93,test,e1_0,11.30,0.00,3.79,ev,91.36,128.30
10.00,115.93,0,e1_0,79.15,0.00,6.77,car,152.39,98.63
10.00,115.93,1,e1_0,35.36,0.00,7.14,car,113.00,117.78
10.00,115.93,2,e1_0,5.10,0.00,0.00,car,85.79,131.01
10.00,115.93,test,e1_0,16.87,0.00,5.57,ev,96.37,125.86
11.00,115.93,0,e1_0,83.73,0.00,4.57,car,156.50,96.63
11.00,115.93,1,e1_0,45.33,0.00,9.97,car,121.97,113.42
11.00,115.93,2,e1_0,7.40,0.00,2.30,car,87.85,130.01
11.00,115.93,test,e1_0,22.80,0.00,5.93,ev,101.71,123.27
12.00,126.04,0,:j2_0_0,1.71,0.00,2.37,car,157.99,94.98
12.00,115.93,1,e1_0,53.09,0.00,7.77,car,128.95,110.02
12.00,115.93,2,e1_0,10.15,0.00,2.76,car,90.33,128.80
12.00,115.93,test,e1_1,31.37,0.00,8.57,ev,110.81,122.40
13.00,171.48,0,e2_0,3.45,0.00,3.53,car,158.01,91.45
13.00,115.93,1,e1_0,59.66,0.00,6.56,car,134.85,107.16
13.00,115.93,2,e1_0,15.41,0.00,5.26,car,95.06,126.50
13.00,115.93,3,e1_0,5.10,0.00,0.00,car,85.79,131.01
13.00,115.93,test,e1_1,38.02,0.00,6.65,ev,116.79,119.49
14.00,179.78,0,e2_0,10.23,0.00,6.78,car,158.04,84.67
14.00,115.93,1,e1_0,66.57,0.00,6.92,car,141.07,104.13
14.00,115.93,2,e1_0,20.73,0.00,5.31,car,99.84,124.18
14.00,115.93,3,e1_0,8.31,0.00,3.21,car,88.67,129.61
14.00,115.93,test,e1_1,45.07,0.00,7.06,ev,123.14,116.41
15.00,179.78,0,e2_0,18.93,0.00,8.70,car,158.07,75.97
15.00,115.93,1,e1_0,72.87,0.00,6.29,car,146.73,101.38
15.00,115.93,2,e1_0,27.65,0.00,6.92,car,106.07,121.15
15.00,115.93,3,e1_0,10.60,0.00,2.29,car,90.74,128.60
15.00,115.93,test,e1_1,52.00,0.00,6.93,ev,129.37,113.38
16.00,179.78,0,e2_0,25.53,0.00,6.60,car,158.10,69.37
16.00,115.93,1,e1_0,78.04,0.00,5.17,car,151.39,99.12
16.00,115.93,2,e1_0,35.56,0.00,7.91,car,113.18,117.69
16.00,115.93,3,e1_0,15.11,0.00,4.50,car,94.79,126.63
16.00,115.93,test,e1_1,61.87,0.00,9.87,ev,138.24,109.06
17.00,179.78,0,e2_0,32.92,0.00,7.38,car,158.12,61.98
17.00,115.93,1,e1_0,81.74,0.00,3.70,car,154.72,97.50
17.00,115.93,2,e1_0,43.80,0.00,8.24,car,120.59,114.09
17.00,115.93,3,e1_0,20.77,0.00,5.66,car,99.88,124.16
17.00,115.93,test,e1_1,70.41,0.00,8.54,ev,145.92,105.33
18.00,179.78,0,e2_0,39.60,0.00,6.68,car,158.15,55.30
18.00,116.17,1,:j2_0_0,0.16,0.00,2.81,car,157.23,96.25
18.00,115.93,2,e1_0,52.45,0.00,8.66,car,128.38,110.30
18.00,115.93,3,e1_0,28.20,0.00,7.43,car,106.56,120.91
18.00,115.93,test,e1_1,78.43,0.00,8.02,ev,153.14,101.82
19.00,179.78,0,e2_0,48.27,0.00,8.67,car,158.18,46.63
19.00,118.07,1,:j2_0_0,0.78,0.00,0.62,car,157.70,95.84
19.00,115.93,2,e1_0,61.04,0.00,8.59,car,136.10,106.55
19.00,115.93,3,e1_0,34.73,0.00,6.53,car,112.43,118.06
19.00,115.98,test,:j2_0_1,0.05,0.00,6.02,ev,158.54,99.18
20.00,179.78,0,e2_0,57.00,0.00,8.74,car,158.21,37.90
20.00,157.83,1,e2_0,2.34,0.00,3.34,car,158.01,92.56
20.00,115.93,2,e1_0,67.43,0.00,6.39,car,141.84,103.76
20.00,115.93,3,e1_0,41.57,0.00,6.84,car,118.59,115.06
20.00,135.74,test,:j2_0_1,4.83,0.00,4.78,ev,161.13,95.45
21.00,179.78,0,e2_0,63.54,0.00,6.54,car,158.24,31.36
21.00,179.78,1,e2_0,6.90,0.00,4.57,car,158.03,88.00
21.00,115.93,2,e1_0,73.55,0.00,6.13,car,147.35,101.08
21.00,115.93,3,e1_1,49.87,0.00,8.30,car,127.46,114.31
21.00,172.68,test,e2_1,4.04,0.00,4.58,ev,161.22,90.88
22.00,179.78,0,e2_0,70.09,0.00,6.55,car,158.26,24.81
22.00,179.78,1,e2_0,11.52,0.00,4.62,car,158.04,83.38
22.00,115.93,2,e1_0,79.62,0.00,6.07,car,152.81,98.42
22.00,115.93,3,e1_1,59.41,0.00,9.54,car,136.03,110.14
22.00,179.78,test,e2_1,11.62,0.00,7.58,ev,161.24,83.30
